"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.745041875E0,8.118194580E0,2.921075821E1,-3.104812813E1,4.339538845E1
1.755011875E0,8.076011658E0,2.898159027E1,-3.136591339E1,4.346234073E1
1.764981875E0,8.160797119E0,2.872255325E1,-3.139091682E1,4.332405030E1
1.774951875E0,8.160797119E0,2.872255325E1,-3.139091682E1,4.332405030E1
1.784922875E0,8.441963196E0,2.860432434E1,-3.162480164E1,4.346955477E1
1.794892875E0,9.055648804E0,2.830415154E1,-3.186838150E1,4.357434462E1
1.804862875E0,9.508178711E0,2.820357895E1,-3.154517746E1,4.336986914E1
1.814832875E0,1.007626343E1,2.811680412E1,-3.146098518E1,4.338063332E1
1.824802875E0,1.061104584E1,2.781323814E1,-3.153204727E1,4.336404634E1
1.834772875E0,1.100743866E1,2.750600815E1,-3.147097969E1,4.322229463E1
1.844743875E0,1.141216278E1,2.724992752E1,-3.173178291E1,4.335553086E1
1.854713875E0,1.153764343E1,2.690151405E1,-3.217909622E1,4.350060813E1
1.864683875E0,1.127259827E1,2.633723259E1,-3.263331604E1,4.342412472E1
1.874653875E0,1.094502258E1,2.567649460E1,-3.324968719E1,4.341218254E1
1.884623875E0,1.065803528E1,2.527557945E1,-3.375347900E1,4.349420625E1
1.894593875E0,1.022489166E1,2.476488686E1,-3.421375275E1,4.345605720E1
1.904563875E0,1.004264832E1,2.442016983E1,-3.445953369E1,4.341265878E1
1.914534875E0,9.606323242E0,2.436784172E1,-3.488727570E1,4.362562506E1
1.924504875E0,9.558181763E0,2.437980080E1,-3.467565155E1,4.345266777E1
1.934474875E0,9.314605713E0,2.426403618E1,-3.451076126E1,4.320298571E1
1.944444875E0,9.304473877E0,2.436416435E1,-3.471020508E1,4.341640330E1
1.954414875E0,9.355468750E0,2.435293770E1,-3.479393005E1,4.348802063E1
1.964384875E0,9.491653442E0,2.436170769E1,-3.456040192E1,4.333596275E1
1.974355875E0,9.613777161E0,2.439893723E1,-3.462347031E1,4.343405974E1
1.984325875E0,9.959663391E0,2.462374878E1,-3.453218079E1,4.356598913E1
1.994295875E0,1.041958618E1,2.447913933E1,-3.440165710E1,4.348873475E1
2.004265875E0,1.080706787E1,2.467777443E1,-3.438982391E1,4.368575575E1
2.014235875E0,1.120889282E1,2.477417183E1,-3.418270874E1,4.367901607E1
2.024205875E0,1.178488922E1,2.467998123E1,-3.378378296E1,4.346641322E1
2.034176875E0,1.236841583E1,2.452804375E1,-3.369767761E1,4.347569570E1
2.044146875E0,1.279030609E1,2.447291374E1,-3.325926971E1,4.322839875E1
2.054116875E0,1.335295105E1,2.429217339E1,-3.345891571E1,4.345008665E1
2.064086875E0,1.368576050E1,2.410921669E1,-3.316832733E1,4.322837387E1
2.074056875E0,1.430887604E1,2.401296997E1,-3.332638550E1,4.349729452E1
2.084026875E0,1.470838165E1,2.378415489E1,-3.314405823E1,4.336532152E1
2.093996875E0,1.403747559E1,2.396445656E1,-3.339145660E1,4.343196142E1
2.103967875E0,1.356555176E1,2.400734329E1,-3.378293228E1,4.360806393E1
2.113937875E0,1.328028107E1,2.387691116E1,-3.395458221E1,4.358195045E1
2.123907875E0,1.301725006E1,2.384424210E1,-3.398945618E1,4.351183530E1
2.133877875E0,1.258598328E1,2.389949036E1,-3.414796448E1,4.353936256E1
2.143847875E0,1.218385315E1,2.370106506E1,-3.428221130E1,4.342184674E1
2.153817875E0,1.218385315E1,2.370106506E1,-3.428221130E1,4.342184674E1
2.163788875E0,1.179602814E1,2.379294968E1,-3.479255676E1,4.376954124E1
2.173758875E0,1.151735687E1,2.374608421E1,-3.493301392E1,4.378174832E1
2.183728875E0,1.111414337E1,2.365769958E1,-3.492845917E1,4.362577440E1
2.193698875E0,1.082133484E1,2.356915474E1,-3.513847733E1,4.367286264E1
2.203668875E0,1.026026917E1,2.333377647E1,-3.501391220E1,4.330949429E1
2.213638875E0,9.801979065E0,2.341482925E1,-3.540818787E1,4.356687722E1
2.223608875E0,9.009925842E0,2.342169762E1,-3.561408615E1,4.356739395E1
2.233579875E0,8.145126343E0,2.339070892E1,-3.587525177E1,4.359474781E1
2.243549875E0,7.395599365E0,2.346954346E1,-3.606336212E1,4.365868124E1
2.253519875E0,6.752159119E0,2.345730209E1,-3.612529373E1,4.359900826E1
2.263489875E0,6.200607300E0,2.337487221E1,-3.627674866E1,4.359856276E1
2.273459875E0,5.835998535E0,2.331415558E1,-3.629965973E1,4.353474504E1
2.283429875E0,5.733489990E0,2.331751823E1,-3.615973282E1,4.340628804E1
2.293400875E0,5.552947998E0,2.344132423E1,-3.670989609E1,4.390839765E1
2.303370875E0,5.158111572E0,2.349364281E1,-3.654375458E1,4.374932418E1
2.313340875E0,5.013099670E0,2.347533798E1,-3.642864227E1,4.362646719E1
2.323310875E0,4.846992493E0,2.338123894E1,-3.646316528E1,4.358598505E1
2.333280875E0,4.663360596E0,2.350502205E1,-3.639189148E1,4.357295903E1
2.343250875E0,4.733154297E0,2.354999924E1,-3.647725677E1,4.367602861E1
2.353221875E0,4.530349731E0,2.365865517E1,-3.641384888E1,4.366033008E1
2.363191875E0,3.779289246E0,2.357142448E1,-3.631914139E1,4.346234129E1
2.373161875E0,2.491806030E0,2.362775803E1,-3.687407684E1,4.386544870E1
2.383131875E0,1.261024475E0,2.355833054E1,-3.674540329E1,4.366703314E1
2.393101875E0,1.563308716E0,2.342700768E1,-3.702091217E1,4.383852827E1
2.403071875E0,1.849708557E0,2.339892197E1,-3.686675262E1,4.370455834E1
2.413041875E0,1.886146545E0,2.332446098E1,-3.668971252E1,4.351692813E1
2.423012875E0,1.507675171E0,2.341245079E1,-3.675900650E1,4.360780315E1
2.432982875E0,1.303695679E0,2.335657310E1,-3.681353760E1,4.361726356E1
2.442952875E0,1.278869629E0,2.331353188E1,-3.685153580E1,4.362558844E1
2.452922875E0,1.142051697E0,2.340336990E1,-3.689519501E1,4.370672053E1
